"SampleBatch" "Replicate" "microbe" "Time" "Concentration" "headspace" "pressure" "condition" "gas" "id" "Batch"
"111" "MH23" "MH2_23" "M. smithii" 60.5 72.4008155101376 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"112" "MB3" "MB33" "M. smithii /
B. thetaiotaomicron" 183.75 0.0823879402897937 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"113" "C3" "C13" "C. minuta" 60.5 8.73571209774848 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"114" "MC3" "MC23" "M. smithii /
C. minuta" 60.5 0.561505075244562 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"115" "MC3" "MC13" "M. smithii /
C. minuta" 60.5 0.838431332080667 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"116" "B3" "B13" "B. thetaiotaomicron" 60.5 1.29281562889531 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"118" "C-atm" "C2" "C. minuta" 140.5 15.732816356931 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"119" "MB3" "MB33" "M. smithii /
B. thetaiotaomicron" 60.5 0.0634195532864823 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"121" "MB3" "MB23" "M. smithii /
B. thetaiotaomicron" 60.5 0.0549256105988448 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"124" "B3" "B33" "B. thetaiotaomicron" 183.75 1.02468953865976 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"128" "MH23" "MH2_33" "M. smithii" 36.5 78.0651821158245 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"129" "MC-atm" "MC2" "M. smithii /
C. minuta" 140.5 0.129798123139029 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"130" "MH23" "MH2_23" "M. smithii" 36.5 70.4767729075001 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"131" "MH23" "MH2_13" "M. smithii" 36.5 102.873618541311 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"132" "C3" "C13" "C. minuta" 84.75 9.6079241029641 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"133" "C3" "C33" "C. minuta" 36.5 6.79018638775468 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"134" "C3" "C23" "C. minuta" 36.5 7.87461312568256 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"135" "MC-atm" "MC1" "M. smithii /
C. minuta" 88.75 0.15122884638451 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"136" "C3" "C13" "C. minuta" 36.5 5.81935277801816 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
